,Source,Date,Tweets Ago,Text,Compound,Positive,Neutral,Negative
127,CBSNews,Mon Jan 15 10:03:04 +0000 2018,28,Chelsea Manning files to run for Senate in Maryland https://t.co/XfNh0PH8PF https://t.co/J1VR6QN0Ls,0.0,0.0,1.0,0.0
128,CBSNews,Mon Jan 15 09:48:05 +0000 2018,29,"Jaguars edge out Steelers 45-42, will meet Patriots for AFC title game https://t.co/9b5YNPxdea https://t.co/oCgwwwHu3p",0.0,0.0,1.0,0.0
129,CBSNews,Mon Jan 15 09:33:04 +0000 2018,30,Hawaii missile alert: FCC launches investigation into false ballistic missile warning https://t.co/V9E66qOeD2 https://t.co/L1r3YiDfcz,-0.0516,0.141,0.705,0.154
130,CBSNews,Mon Jan 15 09:18:11 +0000 2018,31,The American scientist who's seen North Korea's nuclear secrets https://t.co/by5G6yOmG3 https://t.co/u1GiXfIsTd,0.0,0.0,1.0,0.0
131,CBSNews,Mon Jan 15 09:03:05 +0000 2018,32,Sharon Stone's second chance https://t.co/mlQ8RMpIgw https://t.co/3BbBOIfFbl,0.25,0.286,0.714,0.0
132,CBSNews,Mon Jan 15 08:48:04 +0000 2018,33,Drawing the lines on gerrymandering https://t.co/GpPBSumc3Q https://t.co/IywMIM818L,0.0,0.0,1.0,0.0
133,CBSNews,Mon Jan 15 08:33:06 +0000 2018,34,"Man files complaint, alleging ex-Gov. Eliot Spitzer threatened him https://t.co/9Gld5sVNuu https://t.co/5govaAz9IH",-0.6369,0.0,0.634,0.366
134,CBSNews,Mon Jan 15 08:18:07 +0000 2018,35,"Oprah Winfrey on ""Time's Up"": Where do we go from here? https://t.co/r53NgRI6wE https://t.co/VK3SPY8bpH",0.0,0.0,1.0,0.0
135,CBSNews,Mon Jan 15 08:03:05 +0000 2018,36,The show-off state https://t.co/mF4JYFdPsY https://t.co/pWg2a8FDac,0.0,0.0,1.0,0.0
136,CBSNews,Mon Jan 15 07:48:05 +0000 2018,37,"Sen. Joe Manchin: No senator would make up ""atrocious"" remark attributed to Trump https://t.co/aBFxX3lYGh https://t.co/AzHm7fn82D",-0.296,0.0,0.864,0.136
137,CBSNews,Mon Jan 15 07:42:12 +0000 2018,38,New details in police chase of Greyhound bus with 40 people on board https://t.co/46tddmE7ox https://t.co/ck0xxnAzwX,0.0,0.0,1.0,0.0
138,CBSNews,Mon Jan 15 07:32:05 +0000 2018,39,"Jakarta Stock Exchange mezzanine collapse causes chaos, injures dozens https://t.co/p13XPSGPrS https://t.co/HA5jBSafcI",-0.7845,0.0,0.566,0.434
139,CBSNews,Mon Jan 15 07:18:09 +0000 2018,40,"Sen. Tom Cotton says Trump's words, sentiments on immigration were misrepresented https://t.co/b47Rfh3Wd5 https://t.co/9m7JomAnUx",0.0,0.0,1.0,0.0
140,CBSNews,Mon Jan 15 07:03:08 +0000 2018,41,2 children among the dead in triple homicide in Nashville https://t.co/shk17wnLaQ https://t.co/QAJB0L6SY3,-0.6486,0.0,0.699,0.301
141,CBSNews,Mon Jan 15 06:54:05 +0000 2018,42,Double suicide bombing in Baghdad takes deadly toll https://t.co/O6VAc4XeXn https://t.co/aw9kbdcKxY,-0.6705,0.0,0.667,0.333
142,CBSNews,Mon Jan 15 06:48:05 +0000 2018,43,"Speeding car goes airborne, crashes into second floor of California building https://t.co/KTVmW1PARt https://t.co/1nRqtgbw53",0.0,0.0,1.0,0.0
